Ticker,Date,Sentiment_Weighted,Sentiment_MA,Tweets,Tweets_MA,Adj Close,Percent_Change,Percent_Change_Bin
aal,11-03-2016,0.363636364,0.363636364,33,33,40.69700623,0.282561446,1
aal,14-03-2016,1.105263158,0.457309942,19,25,40.81200027,-1.127042448,0
aal,15-03-2016,0.466666667,0.523976608,45,25,40.35203171,0.474955528,1
aal,16-03-2016,0.282352941,0.618094255,85,49.66666667,40.54368591,-0.496336003,0
aal,17-03-2016,0.12195122,0.290323609,41,57,40.342453,3.182903706,2
aal,18-03-2016,0.409836066,0.271380075,61,62.33333333,41.62651443,0.069069855,1
aal,28-03-2016,0.9,0.625925926,30,26,39.20213699,1.075510833,1
aal,29-03-2016,0.333333333,0.614814815,87,45,39.62376022,0.072560941,1
aal,30-03-2016,0.8,0.677777778,65,60.66666667,39.6525116,-0.894169973,0
aal,31-03-2016,0.707317073,0.613550136,41,64.33333333,39.29795074,-3.633246946,0
aal,01-04-2016,0.416666667,0.641327913,48,51.33333333,37.87015915,-0.379574381,0
aal,04-04-2016,0.864864865,0.765707643,37,71.33333333,37.72641373,-1.117560772,0
aal,05-04-2016,0.452991453,0.783371461,117,72,37.30479813,-0.07706129,0
aal,06-04-2016,0.355263158,0.557706492,76,76.66666667,37.27605057,-1.388203661,0
aal,07-04-2016,0.318181818,0.37547881,66,86.33333333,36.75858307,0.36498388,1
aal,08-04-2016,0.306451613,0.326632196,62,68,36.89274597,0.597401856,1
aal,11-04-2016,0.194444444,0.456228956,36,30.66666667,37.11314392,1.187687764,1
aal,12-04-2016,0.40562249,0.394466756,249,99,37.55393219,1.913761722,1
aal,13-04-2016,0.253164557,0.284410497,237,174,38.27262497,3.079596118,2
aal,14-04-2016,0.462962963,0.37391667,162,216,39.45126724,-0.631488584,0
aal,15-04-2016,0.281690141,0.332605887,142,180.3333333,39.20213699,0.024395216,1
aal,18-04-2016,0.607142857,0.490021402,28,50.66666667,39.21170044,1.026431077,1
aal,19-04-2016,0.73943662,0.515526492,142,68.33333333,39.61418152,-0.193516951,0
aal,20-04-2016,0.522727273,0.62310225,44,71.33333333,39.53752136,-3.029594027,0
aal,21-04-2016,0.743243243,0.668469045,74,86.66666667,38.33969498,-4.498851353,0
aal,22-04-2016,0.410447761,0.558806092,134,84,36.61484909,-3.166696238,0
aal,25-04-2016,0.027027027,0.39727192,37,141.3333333,35.45536804,-0.216248215,0
aal,26-04-2016,0.604395604,0.377140877,91,53.33333333,35.37869644,-0.568786065,0
aal,27-04-2016,0.728070175,0.453164269,114,80.66666667,35.17746735,-2.015797324,0
aal,28-04-2016,0.62295082,0.651805533,61,88.66666667,34.4683609,-3.558539186,0
aal,29-04-2016,0.464285714,0.605102236,112,95.66666667,33.24179077,-0.462547291,0
aal,02-05-2016,0.588235294,0.603520978,17,50,33.08803177,0.435678407,1
aal,03-05-2016,0.4,0.576723593,65,37.66666667,33.23218918,-3.961829598,0
aal,04-05-2016,0.392523364,0.460252886,107,63,31.91558647,-1.204461207,0
aal,05-05-2016,0.554347826,0.448957064,92,88,31.53117561,0.670511185,1
aal,06-05-2016,0.4,0.448957064,75,91.33333333,31.74259567,-0.272468971,0
aal,09-05-2016,0.6,0.330952381,15,44.33333333,31.65610695,2.519751108,2
aal,10-05-2016,0.573770492,0.355542545,61,34.66666667,32.45376205,-2.69471537,0
aal,11-05-2016,0.488888889,0.554219794,90,55.33333333,31.57922554,-4.656110439,0
aal,12-05-2016,0.777777778,0.613479053,54,68.33333333,30.10886192,0.574525766,1
aal,13-05-2016,0.090225564,0.45229741,133,92.33333333,30.28184509,1.93590389,1
aal,16-05-2016,0.185185185,0.57973251,27,46.66666667,30.86807251,1.618919213,1
aal,17-05-2016,0.289855072,0.450013419,69,42.66666667,31.36780167,-0.091902096,0
aal,18-05-2016,0.333333333,0.269457864,87,61,31.338974,-1.410613872,0
aal,19-05-2016,0.676470588,0.433219665,68,74.66666667,30.89690208,-0.435468512,0
aal,20-05-2016,0.634146341,0.547983421,41,65.33333333,30.7623558,-0.874715268,0
aal,23-05-2016,1.181818182,0.681894576,11,38.33333333,30.49327278,1.323666718,1
aal,24-05-2016,0.459459459,0.62552392,37,27.33333333,30.89690208,0.06220185,1
aal,25-05-2016,0.294117647,0.645131763,68,38.66666667,30.91612053,-2.051600995,0
aal,26-05-2016,0.457627119,0.403734742,59,54.66666667,30.28184509,0.444294452,1
aal,27-05-2016,0.358490566,0.370078444,53,60,30.41638565,0.821505259,1
aal,31-05-2016,0.380952381,0.477025898,21,20.33333333,30.66625786,0.125339354,1
aal,01-06-2016,0.386363636,0.43037518,44,28.66666667,30.70469475,-0.876357916,0
